timestamp,Engagement,Excitement,Focus,Interest,Relaxation,Stress
2024-07-03 15:44:15.028987,0.337269,0.779229,0.158201,0.557109,0.277491,0.386502
2024-07-03 15:44:25.020332,0.405502,0.744733,0.618399,0.562227,0.30483,0.399723
2024-07-03 15:44:35.011237,0.483961,0.78419,0.824795,0.59924,0.348193,0.43175
2024-07-03 15:44:44.998007,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:44:54.988209,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:45:04.992672,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:45:14.982374,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:45:24.972548,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:45:34.963527,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:45:44.953478,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:45:54.943335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:46:04.934396,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:46:14.922931,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:46:24.927742,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:46:34.917008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:46:44.907325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:46:54.897174,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:47:04.887626,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:47:14.878331,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:47:24.867909,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:47:34.858229,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:47:44.848563,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:47:54.837749,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:48:04.842320,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:48:14.832947,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:48:24.823596,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:48:34.812917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:48:44.803308,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:48:54.793653,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:49:04.784328,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:49:14.773416,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:49:24.763188,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:49:34.767143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-07-03 15:49:44.758124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
