timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
2024-07-03 15:44:05.671200,4304.359,4285.769,4317.051,4295.128,4283.077,4267.051,4259.359,4252.308,4270.897,4267.692,4468.974,4459.359,4375.513,4400.256
2024-07-03 15:44:05.679000,4301.795,4294.744,4316.026,4330.897,4264.872,4265.256,4255.769,4261.026,4270.385,4263.333,4458.205,4466.282,4363.462,4422.051
2024-07-03 15:44:05.686900,4295.897,4282.564,4320.641,4326.667,4277.308,4261.282,4247.821,4252.692,4255.769,4260.641,4444.359,4464.744,4348.59,4425.385
2024-07-03 15:44:05.694700,4288.59,4275.0,4315.641,4286.538,4300.385,4258.974,4248.462,4241.795,4264.231,4259.872,4452.692,4455.769,4359.231,4403.462
2024-07-03 15:44:05.702400,4283.974,4280.0,4308.974,4296.538,4290.385,4254.615,4249.359,4248.974,4265.897,4256.154,4458.974,4461.538,4358.077,4401.795
2024-07-03 15:44:05.710200,4275.385,4282.564,4302.564,4326.026,4257.821,4244.615,4241.538,4247.051,4245.769,4243.846,4441.282,4459.744,4327.051,4396.538
2024-07-03 15:44:05.717900,4281.923,4276.795,4307.179,4317.051,4267.179,4246.538,4242.564,4245.513,4255.897,4257.821,4440.897,4454.359,4326.154,4381.667
2024-07-03 15:44:05.725700,4295.0,4268.333,4313.846,4298.974,4304.872,4261.154,4253.333,4258.205,4279.231,4284.103,4456.282,4456.026,4358.718,4387.179
2024-07-03 15:44:05.733500,4283.077,4268.59,4298.974,4297.308,4292.564,4256.538,4248.077,4254.359,4265.128,4259.231,4439.359,4444.872,4349.231,4390.256
2024-07-03 15:44:05.741300,4280.0,4279.487,4300.769,4314.231,4263.333,4249.872,4241.41,4246.795,4252.308,4234.231,4432.692,4443.59,4331.154,4392.564
2024-07-03 15:44:05.749000,4300.0,4292.051,4326.538,4333.333,4289.103,4268.59,4259.103,4263.333,4266.538,4267.692,4465.0,4468.718,4347.949,4415.641
2024-07-03 15:44:05.756800,4296.154,4296.795,4324.744,4321.795,4308.846,4279.231,4268.077,4271.538,4271.026,4278.205,4468.077,4476.667,4348.077,4419.359
2024-07-03 15:44:05.764500,4277.692,4286.154,4307.692,4304.359,4283.333,4266.282,4253.846,4253.333,4261.923,4241.538,4439.231,4452.436,4341.154,4385.385
2024-07-03 15:44:05.772300,4276.026,4272.692,4309.744,4308.846,4259.615,4260.385,4245.897,4239.615,4261.026,4239.744,4425.897,4436.795,4347.179,4374.231
2024-07-03 15:44:05.780000,4277.308,4278.974,4313.077,4308.718,4252.949,4261.795,4248.462,4248.462,4264.103,4263.462,4429.872,4446.282,4342.692,4395.0
2024-07-03 15:44:05.787800,4288.205,4291.41,4312.949,4305.385,4284.744,4266.795,4255.641,4264.359,4263.077,4260.0,4441.41,4461.667,4341.538,4398.462
2024-07-03 15:44:05.795500,4296.538,4286.923,4309.487,4307.821,4307.949,4267.949,4256.538,4263.718,4264.872,4245.0,4454.231,4457.436,4347.821,4386.41
2024-07-03 15:44:05.803400,4283.846,4271.538,4298.205,4310.769,4257.949,4251.795,4246.923,4259.103,4283.077,4248.462,4450.641,4443.974,4340.641,4393.333
2024-07-03 15:44:05.811200,4284.103,4269.103,4308.462,4307.308,4240.769,4255.256,4256.667,4277.821,4299.487,4265.128,4434.872,4458.59,4339.231,4413.974
