timestamp,AF3_theta,AF3_alpha,AF3_low_beta,AF3_high_beta,AF3_gamma,F7_theta,F7_alpha,F7_low_beta,F7_high_beta,F7_gamma,F3_theta,F3_alpha,F3_low_beta,F3_high_beta,F3_gamma,FC5_theta,FC5_alpha,FC5_low_beta,FC5_high_beta,FC5_gamma,T7_theta,T7_alpha,T7_low_beta,T7_high_beta,T7_gamma,P7_theta,P7_alpha,P7_low_beta,P7_high_beta,P7_gamma,O1_theta,O1_alpha,O1_low_beta,O1_high_beta,O1_gamma,O2_theta,O2_alpha,O2_low_beta,O2_high_beta,O2_gamma,P8_theta,P8_alpha,P8_low_beta,P8_high_beta,P8_gamma,T8_theta,T8_alpha,T8_low_beta,T8_high_beta,T8_gamma,FC6_theta,FC6_alpha,FC6_low_beta,FC6_high_beta,FC6_gamma,F4_theta,F4_alpha,F4_low_beta,F4_high_beta,F4_gamma,F8_theta,F8_alpha,F8_low_beta,F8_high_beta,F8_gamma,AF4_theta,AF4_alpha,AF4_low_beta,AF4_high_beta,AF4_gamma
2024-07-03 15:44:04.315197,2.298,2.221,2.558,0.917,0.705,1.086,1.327,1.884,1.456,1.56,1.825,2.035,1.351,0.741,0.562,1.125,1.686,1.742,1.712,1.805,0.954,0.927,1.172,3.881,2.804,0.775,0.685,0.451,0.318,0.769,1.014,1.136,0.762,0.32,0.701,1.723,2.347,1.468,1.023,0.631,1.369,3.056,3.474,3.183,1.187,1.218,3.465,2.15,2.932,2.185,2.632,2.927,1.815,2.35,1.738,2.079,3.041,2.228,1.155,0.718,2.039,1.677,2.06,2.376,1.552,2.562,2.369,2.616,1.796,1.228
2024-07-03 15:44:04.435322,2.376,1.81,3.011,0.982,0.757,1.046,0.96,2.063,1.646,1.699,1.674,1.566,1.595,0.767,0.542,1.03,1.163,1.47,1.592,1.756,0.8,0.746,1.307,3.348,2.634,0.723,0.614,0.462,0.293,0.8,0.947,0.969,0.805,0.28,0.664,2.027,2.35,1.484,0.936,0.604,1.146,2.919,3.222,3.196,1.149,0.997,2.795,2.143,2.941,2.117,2.124,2.342,2.1,2.491,1.643,1.92,2.445,2.528,1.234,0.674,1.737,1.327,2.25,2.325,1.444,2.529,1.682,2.56,1.727,1.221
2024-07-03 15:44:04.556829,2.605,1.552,3.167,1.043,0.816,1.088,0.695,2.107,1.711,1.826,1.594,1.224,1.784,0.827,0.536,0.967,0.796,1.212,1.531,1.728,0.684,0.577,1.525,2.834,2.474,0.647,0.534,0.48,0.288,0.791,0.879,0.788,0.816,0.27,0.61,2.348,2.305,1.487,0.865,0.567,1.0,2.838,2.892,3.021,1.077,0.844,2.283,2.144,2.92,2.002,1.853,2.048,2.377,2.654,1.591,1.903,2.198,2.677,1.334,0.689,1.633,1.151,2.338,2.298,1.385,2.662,1.434,2.432,1.734,1.252
2024-07-03 15:44:04.689486,2.983,1.527,2.991,1.082,0.861,1.209,0.563,1.997,1.629,1.927,1.644,1.089,1.865,0.896,0.539,0.942,0.622,0.999,1.549,1.714,0.582,0.473,1.806,2.496,2.384,0.558,0.477,0.493,0.303,0.74,0.793,0.635,0.788,0.295,0.555,2.501,2.184,1.509,0.823,0.532,0.88,2.78,2.544,2.714,0.988,0.745,2.009,2.131,2.891,1.843,1.827,2.052,2.589,2.786,1.575,2.031,2.3,2.663,1.404,0.765,1.825,1.218,2.293,2.342,1.353,3.005,1.63,2.247,1.767,1.333
2024-07-03 15:44:04.810753,3.573,1.705,2.564,1.078,0.871,1.51,0.544,1.757,1.432,1.985,1.973,1.154,1.81,0.956,0.54,1.006,0.592,0.84,1.632,1.704,0.522,0.468,2.101,2.398,2.408,0.476,0.46,0.49,0.334,0.658,0.705,0.532,0.73,0.355,0.513,2.419,1.958,1.552,0.812,0.512,0.793,2.682,2.217,2.377,0.899,0.755,1.962,2.086,2.875,1.659,2.082,2.217,2.676,2.834,1.579,2.376,2.577,2.523,1.421,0.877,2.387,1.486,2.128,2.487,1.327,3.609,2.084,2.055,1.772,1.443
2024-07-03 15:44:04.930883,4.528,2.015,2.051,1.025,0.839,2.229,0.617,1.456,1.196,1.987,2.714,1.384,1.629,0.997,0.528,1.263,0.635,0.728,1.758,1.689,0.536,0.568,2.34,2.488,2.547,0.432,0.486,0.466,0.376,0.564,0.601,0.49,0.659,0.449,0.487,2.068,1.66,1.593,0.826,0.514,0.721,2.533,1.964,2.114,0.831,0.823,2.073,2.009,2.872,1.497,2.517,2.373,2.61,2.782,1.579,2.92,2.82,2.328,1.401,0.991,3.228,1.844,1.882,2.731,1.301,4.443,2.557,1.926,1.724,1.542
2024-07-03 15:44:05.065910,5.816,2.396,1.625,0.937,0.775,3.494,0.786,1.189,0.989,1.932,3.88,1.752,1.381,1.016,0.499,1.787,0.721,0.658,1.905,1.669,0.643,0.752,2.449,2.673,2.758,0.421,0.548,0.422,0.428,0.483,0.528,0.536,0.593,0.568,0.473,1.618,1.42,1.611,0.854,0.539,0.7,2.411,1.849,1.979,0.797,0.954,2.288,1.905,2.861,1.418,3.006,2.472,2.439,2.647,1.553,3.599,2.94,2.18,1.371,1.074,4.103,2.2,1.642,3.055,1.307,5.3,2.898,1.961,1.63,1.596
2024-07-03 15:44:05.185159,7.331,2.803,1.408,0.841,0.704,5.222,1.058,1.041,0.854,1.837,5.261,2.225,1.151,1.01,0.456,2.533,0.855,0.642,2.043,1.646,0.823,0.979,2.381,2.87,2.982,0.441,0.628,0.36,0.482,0.43,0.491,0.701,0.539,0.693,0.465,1.236,1.39,1.596,0.886,0.582,0.742,2.395,1.872,1.95,0.802,1.125,2.529,1.778,2.815,1.469,3.35,2.542,2.264,2.44,1.49,4.265,2.964,2.162,1.349,1.114,4.71,2.495,1.496,3.404,1.4,5.981,3.063,2.222,1.508,1.593
2024-07-03 15:44:05.305518,8.722,3.198,1.419,0.771,0.655,7.08,1.415,1.05,0.804,1.726,6.555,2.743,1.003,0.976,0.411,3.369,1.038,0.679,2.138,1.637,1.035,1.202,2.144,3.016,3.172,0.467,0.706,0.291,0.533,0.412,0.549,0.997,0.493,0.802,0.46,1.103,1.632,1.55,0.912,0.629,0.856,2.5,1.944,1.972,0.84,1.332,2.726,1.634,2.725,1.65,3.41,2.639,2.19,2.177,1.404,4.793,2.982,2.302,1.337,1.111,4.872,2.728,1.49,3.693,1.627,6.278,3.119,2.688,1.378,1.555
2024-07-03 15:44:05.440336,9.591,3.549,1.576,0.747,0.642,8.511,1.811,1.201,0.844,1.62,7.279,3.221,0.966,0.915,0.378,4.032,1.259,0.76,2.159,1.673,1.206,1.377,1.798,3.095,3.301,0.501,0.756,0.228,0.578,0.425,0.704,1.372,0.457,0.877,0.457,1.262,2.073,1.504,0.933,0.663,1.014,2.65,1.984,2.014,0.893,1.521,2.819,1.506,2.629,1.907,3.146,2.798,2.271,1.892,1.327,4.999,3.079,2.558,1.325,1.081,4.556,2.918,1.614,3.838,1.99,6.105,3.171,3.267,1.257,1.517
